,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,STL_home,BLK_home,FTM_home,TO_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,STL_away,BLK_away,FTM_away,TO_away,HOME_TEAM_WINS
0,2019,85.0,0.354,0.9,0.22899999999999998,22.0,47.0,7.0,8.0,9.0,10.0,93.0,0.402,0.762,0.226,20.0,61.0,7.0,6.0,16.0,16.0,0
1,2019,91.0,0.364,0.4,0.31,19.0,57.0,9.0,3.0,6.0,13.0,111.0,0.46799999999999997,0.632,0.275,28.0,56.0,10.0,7.0,12.0,14.0,0
2,2019,136.0,0.5920000000000001,0.805,0.542,25.0,37.0,6.0,6.0,33.0,10.0,130.0,0.505,0.65,0.488,27.0,37.0,7.0,4.0,13.0,9.0,1
3,2019,133.0,0.5660000000000001,0.7,0.5,38.0,41.0,6.0,1.0,21.0,16.0,118.0,0.461,0.897,0.263,24.0,36.0,9.0,4.0,26.0,11.0,1
4,2019,106.0,0.40700000000000003,0.885,0.257,18.0,51.0,8.0,7.0,23.0,10.0,100.0,0.413,0.667,0.429,23.0,42.0,6.0,4.0,16.0,14.0,1
5,2019,114.0,0.42100000000000004,0.818,0.21899999999999997,24.0,52.0,7.0,3.0,27.0,16.0,122.0,0.515,0.9,0.371,23.0,36.0,9.0,9.0,9.0,13.0,0
6,2019,110.0,0.47200000000000003,0.708,0.321,25.0,52.0,7.0,7.0,17.0,21.0,124.0,0.488,0.889,0.667,24.0,34.0,10.0,5.0,24.0,13.0,0
7,2019,125.0,0.5529999999999999,0.6970000000000001,0.4,29.0,50.0,6.0,4.0,23.0,16.0,115.0,0.461,0.696,0.486,26.0,33.0,12.0,3.0,16.0,8.0,1
8,2019,129.0,0.5479999999999999,0.8640000000000001,0.429,34.0,36.0,7.0,5.0,19.0,18.0,117.0,0.5,0.7140000000000001,0.28600000000000003,14.0,42.0,9.0,4.0,15.0,17.0,1
9,2019,116.0,0.451,0.833,0.368,27.0,45.0,4.0,4.0,20.0,6.0,113.0,0.465,0.7390000000000001,0.364,30.0,44.0,3.0,3.0,17.0,10.0,1
10,2019,104.0,0.48200000000000004,0.85,0.22699999999999998,30.0,36.0,9.0,3.0,17.0,13.0,113.0,0.54,0.7859999999999999,0.348,30.0,38.0,10.0,6.0,11.0,13.0,0
11,2019,105.0,0.45299999999999996,0.818,0.32299999999999995,27.0,51.0,10.0,4.0,9.0,7.0,88.0,0.409,0.583,0.25,26.0,45.0,5.0,3.0,7.0,14.0,1
12,2019,110.0,0.39,0.76,0.31,22.0,54.0,11.0,6.0,19.0,14.0,111.0,0.418,0.778,0.273,17.0,53.0,10.0,8.0,14.0,16.0,0
13,2019,114.0,0.524,0.75,0.452,28.0,31.0,11.0,5.0,12.0,17.0,113.0,0.488,0.696,0.405,28.0,41.0,9.0,5.0,16.0,18.0,1
14,2019,99.0,0.41,0.826,0.414,24.0,40.0,3.0,5.0,19.0,19.0,115.0,0.47100000000000003,0.75,0.3,30.0,49.0,9.0,6.0,24.0,10.0,0
15,2019,136.0,0.541,0.818,0.3,36.0,54.0,6.0,7.0,18.0,15.0,125.0,0.484,0.667,0.386,27.0,33.0,10.0,6.0,16.0,15.0,1
16,2019,141.0,0.515,0.733,0.48700000000000004,32.0,52.0,8.0,4.0,22.0,8.0,118.0,0.457,0.762,0.391,30.0,38.0,5.0,8.0,16.0,11.0,1
17,2019,96.0,0.34700000000000003,0.69,0.233,19.0,45.0,11.0,3.0,20.0,5.0,99.0,0.436,0.72,0.433,23.0,58.0,3.0,9.0,18.0,17.0,0
18,2019,126.0,0.519,0.75,0.486,30.0,40.0,6.0,2.0,27.0,9.0,118.0,0.47600000000000003,0.895,0.42,25.0,35.0,0.0,3.0,17.0,11.0,1
19,2019,101.0,0.429,0.75,0.267,27.0,52.0,7.0,5.0,15.0,12.0,104.0,0.418,0.81,0.289,24.0,47.0,11.0,3.0,17.0,9.0,0
20,2019,133.0,0.5,0.857,0.467,34.0,66.0,6.0,2.0,12.0,17.0,86.0,0.363,0.7,0.171,14.0,36.0,8.0,3.0,14.0,14.0,1
21,2019,116.0,0.545,0.733,0.391,36.0,49.0,12.0,8.0,11.0,16.0,104.0,0.45299999999999996,0.583,0.355,27.0,34.0,7.0,2.0,7.0,14.0,1
22,2019,111.0,0.6,0.706,0.391,31.0,38.0,9.0,5.0,12.0,18.0,113.0,0.489,0.75,0.406,27.0,31.0,14.0,3.0,12.0,10.0,0
23,2019,129.0,0.494,0.733,0.514,23.0,54.0,7.0,5.0,22.0,15.0,119.0,0.45899999999999996,0.7140000000000001,0.37799999999999995,23.0,41.0,12.0,4.0,15.0,11.0,1
24,2019,132.0,0.539,0.9,0.462,35.0,46.0,6.0,5.0,18.0,10.0,103.0,0.451,0.75,0.36,19.0,39.0,7.0,6.0,12.0,14.0,1
25,2019,115.0,0.495,0.769,0.484,32.0,44.0,5.0,7.0,10.0,6.0,106.0,0.506,0.583,0.348,28.0,39.0,2.0,3.0,14.0,8.0,1
26,2019,106.0,0.444,0.7829999999999999,0.32,21.0,48.0,8.0,4.0,18.0,11.0,100.0,0.461,0.643,0.3,14.0,45.0,5.0,5.0,9.0,14.0,1
27,2019,112.0,0.488,0.7240000000000001,0.34600000000000003,20.0,37.0,6.0,4.0,21.0,9.0,108.0,0.451,1.0,0.34299999999999997,30.0,45.0,6.0,2.0,14.0,15.0,1
28,2019,86.0,0.425,0.9,0.281,27.0,37.0,7.0,3.0,9.0,26.0,116.0,0.511,0.667,0.33299999999999996,24.0,44.0,13.0,5.0,18.0,16.0,0
29,2019,107.0,0.47,0.76,0.33299999999999996,25.0,37.0,7.0,4.0,19.0,14.0,101.0,0.506,0.647,0.267,22.0,42.0,5.0,6.0,11.0,15.0,1
30,2019,108.0,0.526,0.882,0.45799999999999996,24.0,48.0,5.0,4.0,15.0,18.0,94.0,0.40399999999999997,0.643,0.342,22.0,31.0,13.0,9.0,9.0,8.0,1
31,2019,110.0,0.42700000000000005,0.813,0.385,22.0,39.0,9.0,2.0,13.0,11.0,106.0,0.414,0.6859999999999999,0.278,15.0,56.0,7.0,1.0,24.0,18.0,1
32,2019,120.0,0.447,0.92,0.361,30.0,42.0,5.0,5.0,23.0,9.0,130.0,0.49,0.72,0.43799999999999994,30.0,52.0,7.0,9.0,18.0,8.0,0
33,2019,126.0,0.526,0.767,0.423,30.0,43.0,9.0,8.0,33.0,21.0,129.0,0.516,0.72,0.37,28.0,33.0,16.0,8.0,18.0,16.0,0
34,2019,140.0,0.5589999999999999,0.867,0.46,22.0,44.0,8.0,7.0,13.0,18.0,112.0,0.39799999999999996,0.619,0.33299999999999996,28.0,49.0,9.0,3.0,13.0,14.0,1
35,2019,103.0,0.424,0.737,0.33299999999999996,22.0,55.0,8.0,7.0,14.0,15.0,109.0,0.419,0.667,0.37799999999999995,25.0,43.0,11.0,9.0,20.0,15.0,0
36,2019,92.0,0.391,0.833,0.265,29.0,48.0,8.0,3.0,15.0,16.0,102.0,0.44,0.9329999999999999,0.368,22.0,46.0,11.0,2.0,14.0,15.0,0
37,2019,103.0,0.449,0.733,0.3,16.0,41.0,5.0,3.0,11.0,9.0,114.0,0.536,0.813,0.423,21.0,44.0,7.0,4.0,13.0,8.0,0
38,2019,119.0,0.57,0.846,0.435,35.0,56.0,8.0,11.0,11.0,14.0,80.0,0.33299999999999996,0.444,0.303,22.0,39.0,10.0,1.0,8.0,11.0,1
39,2019,97.0,0.35200000000000004,0.7140000000000001,0.34600000000000003,21.0,43.0,4.0,5.0,15.0,16.0,108.0,0.381,0.833,0.33299999999999996,23.0,53.0,10.0,10.0,30.0,13.0,0
40,2019,122.0,0.536,0.667,0.387,22.0,39.0,6.0,4.0,6.0,11.0,124.0,0.5529999999999999,0.743,0.467,25.0,37.0,8.0,7.0,26.0,11.0,0
41,2019,115.0,0.579,0.818,0.474,33.0,41.0,12.0,3.0,18.0,18.0,98.0,0.40700000000000003,0.81,0.366,24.0,33.0,8.0,2.0,17.0,16.0,1
42,2019,118.0,0.441,0.7140000000000001,0.295,27.0,51.0,10.0,12.0,15.0,16.0,109.0,0.45299999999999996,0.767,0.29600000000000004,31.0,45.0,10.0,2.0,23.0,20.0,1
43,2019,106.0,0.447,0.7390000000000001,0.419,24.0,41.0,8.0,4.0,17.0,17.0,118.0,0.478,0.929,0.48700000000000004,19.0,45.0,6.0,3.0,13.0,14.0,0
44,2019,94.0,0.44299999999999995,0.833,0.14300000000000002,21.0,34.0,7.0,2.0,20.0,16.0,112.0,0.526,0.5589999999999999,0.433,25.0,40.0,7.0,4.0,19.0,10.0,0
45,2019,125.0,0.44299999999999995,0.735,0.37799999999999995,25.0,53.0,8.0,6.0,25.0,12.0,119.0,0.45799999999999996,0.75,0.381,33.0,49.0,6.0,11.0,15.0,12.0,1
46,2019,129.0,0.511,0.9,0.4,27.0,48.0,9.0,5.0,27.0,11.0,112.0,0.41200000000000003,0.889,0.21100000000000002,19.0,44.0,5.0,2.0,24.0,13.0,1
47,2019,134.0,0.48,0.758,0.429,27.0,41.0,8.0,0.0,25.0,17.0,137.0,0.57,0.815,0.45899999999999996,26.0,45.0,7.0,4.0,22.0,21.0,0
48,2019,113.0,0.479,0.625,0.43200000000000005,29.0,49.0,6.0,3.0,5.0,12.0,115.0,0.494,0.8240000000000001,0.382,27.0,41.0,6.0,9.0,14.0,10.0,0
49,2019,123.0,0.5,0.677,0.33299999999999996,20.0,38.0,11.0,7.0,21.0,13.0,112.0,0.44,0.7,0.379,20.0,54.0,12.0,8.0,21.0,17.0,1
50,2019,139.0,0.505,0.75,0.364,28.0,54.0,7.0,3.0,21.0,12.0,123.0,0.442,0.706,0.35700000000000004,16.0,42.0,4.0,6.0,24.0,11.0,1
51,2019,111.0,0.47100000000000003,0.86,0.385,16.0,30.0,8.0,2.0,37.0,19.0,131.0,0.563,0.875,0.6,33.0,38.0,10.0,1.0,21.0,13.0,0
52,2019,124.0,0.5,0.8240000000000001,0.43200000000000005,33.0,50.0,7.0,5.0,14.0,12.0,97.0,0.41600000000000004,0.727,0.259,20.0,45.0,6.0,7.0,16.0,13.0,1
53,2019,114.0,0.45299999999999996,0.6759999999999999,0.324,20.0,46.0,9.0,4.0,25.0,13.0,112.0,0.45799999999999996,0.767,0.382,20.0,44.0,7.0,3.0,23.0,17.0,1
54,2019,127.0,0.511,0.889,0.386,32.0,57.0,9.0,10.0,16.0,17.0,81.0,0.326,0.647,0.242,23.0,39.0,13.0,4.0,11.0,17.0,1
55,2019,128.0,0.589,0.647,0.36700000000000005,29.0,38.0,9.0,7.0,11.0,13.0,116.0,0.444,0.759,0.35,26.0,38.0,7.0,2.0,22.0,15.0,1
56,2019,126.0,0.556,0.643,0.486,27.0,37.0,15.0,4.0,18.0,26.0,117.0,0.507,0.861,0.4,24.0,34.0,15.0,3.0,31.0,24.0,1
57,2019,131.0,0.575,0.875,0.455,28.0,54.0,7.0,7.0,21.0,12.0,103.0,0.369,0.8420000000000001,0.289,27.0,43.0,5.0,1.0,16.0,9.0,1
